protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
3020;H4_MOUSE;P62806;Histone H4 OS=Mus musculus OX=10090 GN=H4c1 PE=1 SV=2;Regular;25.841.130;0.00;113.673.627;63;7;11;59.22;106146;67775;62081;;;Green;
11810;H2AJ_MOUSE;Q8R1M2;Histone H2A.J OS=Mus musculus OX=10090 GN=H2aj PE=1 SV=1;Regular;25.087.920;0.00;140.454.643;41;3;8;27.13;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637
6630;H2A1K_MOUSE;Q8CGP7;Histone H2A type 1-K OS=Mus musculus OX=10090 GN=H2ac15 PE=1 SV=3;Regular;25.087.920;0.00;141.495.353;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 10637 11810
6629;H2A1H_MOUSE;Q8CGP6;Histone H2A type 1-H OS=Mus musculus OX=10090 GN=H2ac12 PE=1 SV=3;Regular;25.087.920;0.00;139.502.822;41;3;9;27.34;45557;45557;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6630 10637 11810
6628;H2A1F_MOUSE;Q8CGP5;Histone H2A type 1-F OS=Mus musculus OX=10090 GN=Hist1h2af PE=1 SV=3;Regular;25.087.920;0.00;141.615.463;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6629 6630 10637 11810
5878;H2A3_MOUSE;Q8BFU2;Histone H2A type 3 OS=Mus musculus OX=10090 GN=H2ac25 PE=1 SV=3;Regular;25.087.920;0.00;141.214.815;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 6628 6629 6630 10637 11810
5147;H2A2A_MOUSE;Q6GSS7;Histone H2A type 2-A OS=Mus musculus OX=10090 GN=Hist2h2aa1 PE=1 SV=3;Regular;25.087.920;0.00;140.955.078;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5878 6628 6629 6630 10637 11810
5012;H2A2C_MOUSE;Q64523;Histone H2A type 2-C OS=Mus musculus OX=10090 GN=H2ac20 PE=1 SV=3;Regular;25.087.920;0.00;139.883.928;41;3;8;27.13;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5147 5878 6628 6629 6630 10637 11810
229;H2A1P_MOUSE;C0HKE9;Histone H2A type 1-P OS=Mus musculus OX=10090 GN=Hist1h2ap PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 227 228 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
228;H2A1O_MOUSE;C0HKE8;Histone H2A type 1-O OS=Mus musculus OX=10090 GN=Hist1h2ao PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 227 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
227;H2A1N_MOUSE;C0HKE7;Histone H2A type 1-N OS=Mus musculus OX=10090 GN=Hist1h2an PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 226 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
226;H2A1I_MOUSE;C0HKE6;Histone H2A type 1-I OS=Mus musculus OX=10090 GN=H2ac13 PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 225 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
225;H2A1G_MOUSE;C0HKE5;Histone H2A type 1-G OS=Mus musculus OX=10090 GN=H2ac11 PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 224 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
224;H2A1E_MOUSE;C0HKE4;Histone H2A type 1-E OS=Mus musculus OX=10090 GN=H2ac8 PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 223 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
223;H2A1D_MOUSE;C0HKE3;Histone H2A type 1-D OS=Mus musculus OX=10090 GN=H2ac7 PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 222 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
222;H2A1C_MOUSE;C0HKE2;Histone H2A type 1-C OS=Mus musculus OX=10090 GN=H2ac6 PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;221 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
221;H2A1B_MOUSE;C0HKE1;Histone H2A type 1-B OS=Mus musculus OX=10090 GN=H2ac4 PE=1 SV=1;Regular;25.087.920;0.00;141.355.084;41;3;9;26.92;45557;0;38415;;;Green;222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
