protein.key;protein.Entry;protein.Accession;protein.Description;protein.dataBaseType;protein.score;protein.falsePositiveRate;protein.avgMass;protein.MatchedProducts;protein.matchedPeptides;protein.digestPeps;protein.seqCover(%);protein.MatchedPeptideIntenSum;protein.top3MatchedPeptideIntenSum;protein.MatchedProductIntenSum;protein.fmolOnColumn;protein.ngramOnColumn;protein.AutoCurate;protein.Key_ForHomologs
3020;H4_MOUSE;P62806;Histone H4 OS=Mus musculus OX=10090 GN=H4c1 PE=1 SV=2;Regular;24.912.150;0.00;113.673.627;54;7;11;58.25;54577;37762;34805;409.291;0.4653;Green;
11810;H2AJ_MOUSE;Q8R1M2;Histone H2A.J OS=Mus musculus OX=10090 GN=H2aj PE=1 SV=1;Regular;9.754.693;0.00;140.454.643;27;3;8;27.13;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637
6630;H2A1K_MOUSE;Q8CGP7;Histone H2A type 1-K OS=Mus musculus OX=10090 GN=H2ac15 PE=1 SV=3;Regular;9.754.693;0.00;141.495.353;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 10637 11810
6629;H2A1H_MOUSE;Q8CGP6;Histone H2A type 1-H OS=Mus musculus OX=10090 GN=H2ac12 PE=1 SV=3;Regular;9.754.693;0.00;139.502.822;27;3;9;27.34;17978;17978;10859;194.858;0.2718;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6630 10637 11810
6628;H2A1F_MOUSE;Q8CGP5;Histone H2A type 1-F OS=Mus musculus OX=10090 GN=Hist1h2af PE=1 SV=3;Regular;9.754.693;0.00;141.615.463;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6629 6630 10637 11810
5878;H2A3_MOUSE;Q8BFU2;Histone H2A type 3 OS=Mus musculus OX=10090 GN=H2ac25 PE=1 SV=3;Regular;9.754.693;0.00;141.214.815;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 6628 6629 6630 10637 11810
5147;H2A2A_MOUSE;Q6GSS7;Histone H2A type 2-A OS=Mus musculus OX=10090 GN=Hist2h2aa1 PE=1 SV=3;Regular;9.754.693;0.00;140.955.078;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5878 6628 6629 6630 10637 11810
5012;H2A2C_MOUSE;Q64523;Histone H2A type 2-C OS=Mus musculus OX=10090 GN=H2ac20 PE=1 SV=3;Regular;9.754.693;0.00;139.883.928;27;3;8;27.13;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5147 5878 6628 6629 6630 10637 11810
229;H2A1P_MOUSE;C0HKE9;Histone H2A type 1-P OS=Mus musculus OX=10090 GN=Hist1h2ap PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 227 228 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
228;H2A1O_MOUSE;C0HKE8;Histone H2A type 1-O OS=Mus musculus OX=10090 GN=Hist1h2ao PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 227 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
227;H2A1N_MOUSE;C0HKE7;Histone H2A type 1-N OS=Mus musculus OX=10090 GN=Hist1h2an PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 226 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
226;H2A1I_MOUSE;C0HKE6;Histone H2A type 1-I OS=Mus musculus OX=10090 GN=H2ac13 PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 225 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
225;H2A1G_MOUSE;C0HKE5;Histone H2A type 1-G OS=Mus musculus OX=10090 GN=H2ac11 PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 224 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
224;H2A1E_MOUSE;C0HKE4;Histone H2A type 1-E OS=Mus musculus OX=10090 GN=H2ac8 PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 223 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
223;H2A1D_MOUSE;C0HKE3;Histone H2A type 1-D OS=Mus musculus OX=10090 GN=H2ac7 PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 222 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
222;H2A1C_MOUSE;C0HKE2;Histone H2A type 1-C OS=Mus musculus OX=10090 GN=H2ac6 PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;221 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
221;H2A1B_MOUSE;C0HKE1;Histone H2A type 1-B OS=Mus musculus OX=10090 GN=H2ac4 PE=1 SV=1;Regular;9.754.693;0.00;141.355.084;27;3;9;26.92;17978;0;10859;;;Green;222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
0;ADH1_YEAST;P00330;Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5;Regular;7.743.965;0.00;373.054.483;54;5;26;20.40;106840;92262;56867;1.000.000;37.305;Green;
10637;H2AV_MOUSE;Q3THW5;Histone H2A.V OS=Mus musculus OX=10090 GN=H2az2 PE=1 SV=3;Regular;4.774.492;0.00;135.086.993;15;2;9;12.50;14076;0;8540;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5011 5012 5147 5878 6628 6629 6630 11810
2021;H2AX_MOUSE;P27661;Histone H2AX OS=Mus musculus OX=10090 GN=H2ax PE=1 SV=2;Regular;4.774.492;0.00;151.426.137;15;2;12;11.19;14076;0;8540;;;Green;221 222 223 224 225 226 227 228 229 1421 5011 5012 5147 5878 6628 6629 6630 10637 11810
1421;H2AZ_MOUSE;P0C0S6;Histone H2A.Z OS=Mus musculus OX=10090 GN=H2az1 PE=1 SV=2;Regular;4.774.492;0.00;135.527.525;15;2;9;12.50;14076;0;8540;;;Green;221 222 223 224 225 226 227 228 229 2021 5011 5012 5147 5878 6628 6629 6630 10637 11810
5011;H2A2B_MOUSE;Q64522;Histone H2A type 2-B OS=Mus musculus OX=10090 GN=H2ac21 PE=1 SV=3;Regular;4.641.397;0.00;140.133.593;12;1;9;6.92;12543;0;7518;;;Green;221 222 223 224 225 226 227 228 229 1421 2021 5012 5147 5878 6628 6629 6630 10637 11810
1236;K2C1_MOUSE;P04104;Keratin_ type II cytoskeletal 1 OS=Mus musculus OX=10090 GN=Krt1 PE=1 SV=4;Regular;2.079.410;0.00;661.192.737;26;4;51;6.44;32108;36610.32;18939;396.808;26.237;Green;9339 11017 11038 13831
1201;H3C_MOUSE;P02301;Histone H3.3C OS=Mus musculus OX=10090 GN=H3-5 PE=3 SV=3;Regular;2.066.069;0.00;153.719.562;17;3;14;13.97;8157;7957.5;10282;86.249;0.1326;Green;3119 3310 3311
3093;ACTG_MOUSE;P63260;Actin_ cytoplasmic 2 OS=Mus musculus OX=10090 GN=Actg1 PE=1 SV=1;Regular;1.917.348;0.00;421.351.246;30;6;37;21.33;20746;0;12985;;;Green;2923 3014 3094 3108 3111 11329
2923;ACTB_MOUSE;P60710;Actin_ cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1;Regular;1.917.348;0.00;420.790.170;30;6;37;21.33;20746;14886;12985;161.345;0.6789;Green;3014 3093 3094 3108 3111 11329
9339;K2C71_MOUSE;Q9R0H5;Keratin_ type II cytoskeletal 71 OS=Mus musculus OX=10090 GN=Krt71 PE=1 SV=1;Regular;1.897.758;0.00;578.958.400;22;3;50;6.49;30140;9.354.179;17302;101.387;0.5870;Green;1236 11017 11038 13831
3311;H33_MOUSE;P84244;Histone H3.3 OS=Mus musculus OX=10090 GN=H3-3a PE=1 SV=2;Regular;1.876.640;0.00;153.849.580;13;2;14;11.76;5305;0;7655;;;Green;1201 3119 3310
3310;H32_MOUSE;P84228;Histone H3.2 OS=Mus musculus OX=10090 GN=H3c2 PE=1 SV=2;Regular;1.876.640;0.00;154.450.777;13;2;14;11.76;5305;0;7655;;;Green;1201 3119 3311
3119;H31_MOUSE;P68433;Histone H3.1 OS=Mus musculus OX=10090 GN=H3c1 PE=1 SV=2;Regular;1.876.640;0.00;155.181.658;13;2;14;11.76;5305;0;7655;;;Green;1201 3310 3311
13831;K2C74_MOUSE;Q6IFZ9;Keratin_ type II cytoskeletal 74 OS=Mus musculus OX=10090 GN=Krt74 PE=3 SV=1;Regular;1.770.614;0.00;553.740.486;13;1;51;2.42;21808;0;12387;;;Green;1236 9339 11017 11038
11038;K2C73_MOUSE;Q6NXH9;Keratin_ type II cytoskeletal 73 OS=Mus musculus OX=10090 GN=Krt73 PE=1 SV=1;Regular;1.770.614;0.00;595.388.230;13;1;53;2.23;21808;0;12387;;;Green;1236 9339 11017 13831
11017;K2C1B_MOUSE;Q6IFZ6;Keratin_ type II cytoskeletal 1b OS=Mus musculus OX=10090 GN=Krt77 PE=1 SV=1;Regular;1.770.614;0.00;614.158.812;13;1;51;2.10;21808;0;12387;;;Green;1236 9339 11038 13831
3111;ACTS_MOUSE;P68134;Actin_ alpha skeletal muscle OS=Mus musculus OX=10090 GN=Acta1 PE=1 SV=1;Regular;1.741.375;0.00;423.933.153;25;5;37;16.45;14297;0;11542;;;Green;2923 3014 3093 3094 3108 11329
3108;ACTC_MOUSE;P68033;Actin_ alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1;Regular;1.741.375;0.00;423.612.493;25;5;37;16.45;14297;0;11542;;;Green;2923 3014 3093 3094 3111 11329
3094;ACTH_MOUSE;P63268;Actin_ gamma-enteric smooth muscle OS=Mus musculus OX=10090 GN=Actg2 PE=1 SV=1;Regular;1.593.337;0.00;422.761.803;21;4;36;13.56;13154;0;10166;;;Green;2923 3014 3093 3108 3111 11329
3014;ACTA_MOUSE;P62737;Actin_ aortic smooth muscle OS=Mus musculus OX=10090 GN=Acta2 PE=1 SV=1;Regular;1.593.337;0.00;424.082.561;21;4;37;13.53;13154;0;10166;;;Green;2923 3093 3094 3108 3111 11329
11329;ACTBL_MOUSE;Q8BFZ3;Beta-actin-like protein 2 OS=Mus musculus OX=10090 GN=Actbl2 PE=1 SV=1;Regular;1.033.100;0.00;423.464.809;8;1;38;4.26;4668;0;4320;;;Green;2923 3014 3093 3094 3108 3111
22511;REVERSE4721;REVERSE4721;Reversed Sequence 4721;Reverse;896.998;2.56;422.914.721;22;3;26;13.94;10758;11761.5;14083;127.479;0.5391;Green;
1207;K1C10_MOUSE;P02535;Keratin_ type I cytoskeletal 10 OS=Mus musculus OX=10090 GN=Krt10 PE=1 SV=3;Regular;454.646;2.50;579.410.077;21;6;40;6.84;11555;7426;10834;80.488;0.4664;Yellow;
3105;PHB1_MOUSE;P67778;Prohibitin 1 OS=Mus musculus OX=10090 GN=Phb1 PE=1 SV=1;Regular;504.813;2.44;298.771.483;12;3;23;8.09;8345;6564;5753;71.145;0.2126;Yellow;
11592;GUF1_MOUSE;Q8C3X4;Translation factor Guf1_ mitochondrial OS=Mus musculus OX=10090 GN=Guf1 PE=1 SV=1;Regular;493.374;2.38;728.050.679;10;2;57;1.08;35674;103740;17257;1.124.407;81.862;Green;
8154;ROA0_MOUSE;Q9CX86;Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus OX=10090 GN=Hnrnpa0 PE=1 SV=1;Regular;429.841;2.33;307.015.190;5;1;23;6.56;5415;16245;4250;176.075;0.5406;Yellow;
